username,password,time,workfactor
Bilbo,welcome,2.065145492553711,08
Gandalf,wizard,0.16968750953674316,08
Thorin,diamond,8.378063440322876,08
Fili,desire,1.5609543323516846,09
Kili,ossify,23.266706943511963,09
Balin,hangout,34.72077798843384,10
Dwalin,drossy,30.84389853477478,10
Oin,ispaghul,30.272197246551514,10
Gloin,oversave,41.17839598655701,11
Dori,indoxylic,55.2839720249176,11
Nori,swagsman,56.94908142089844,11
Ori,airway,111.21148800849915,12
Bifur,corrosible,143.5097234249115,12
Bofur,libellate,115.28259062767029,12
Durin,purrone,340.55768513679504,13
